date,owl,channel
2023-07-30,40,10
2023-07-30,40,11
2023-07-30,40,12
2023-07-30,40,13
2023-07-30,40,14
2023-07-30,40,15
2023-07-30,40,16
2023-07-30,40,1
2023-07-30,40,2
2023-07-30,40,3
2023-07-30,40,4
2023-07-30,40,5
2023-07-30,40,6
2023-07-30,40,7
2023-07-30,40,8
2023-07-30,40,9
2023-07-31,40,10
2023-07-31,40,11
2023-07-31,40,12
2023-07-31,40,13
2023-07-31,40,14
2023-07-31,40,15
2023-07-31,40,16
2023-07-31,40,1
2023-07-31,40,2
2023-07-31,40,3
2023-07-31,40,4
2023-07-31,40,5
2023-07-31,40,6
2023-07-31,40,7
2023-07-31,40,8
2023-07-31,40,9
2023-08-01,40,10
2023-08-01,40,12
2023-08-01,40,14
2023-08-01,40,15
2023-08-01,40,16
2023-08-01,40,1
2023-08-01,40,2
2023-08-01,40,3
2023-08-01,40,4
2023-08-01,40,5
2023-08-01,40,6
2023-08-01,40,7
2023-08-01,40,8
2023-08-01,40,9
2023-08-02,40,10
2023-08-02,40,11
2023-08-02,40,12
2023-08-02,40,13
2023-08-02,40,14
2023-08-02,40,15
2023-08-02,40,16
2023-08-02,40,1
2023-08-02,40,2
2023-08-02,40,3
2023-08-02,40,4
2023-08-02,40,5
2023-08-02,40,6
2023-08-02,40,7
2023-08-02,40,8
2023-08-02,40,9
2023-08-03,40,10
2023-08-03,40,12
2023-08-03,40,13
2023-08-03,40,14
2023-08-03,40,15
2023-08-03,40,16
2023-08-03,40,1
2023-08-03,40,2
2023-08-03,40,3
2023-08-03,40,4
2023-08-03,40,5
2023-08-03,40,6
2023-08-03,40,7
2023-08-03,40,8
2023-08-03,40,9
2023-08-04,40,10
2023-08-04,40,11
2023-08-04,40,12
2023-08-04,40,13
2023-08-04,40,14
2023-08-04,40,15
2023-08-04,40,16
2023-08-04,40,1
2023-08-04,40,2
2023-08-04,40,3
2023-08-04,40,4
2023-08-04,40,5
2023-08-04,40,6
2023-08-04,40,7
