date,owl,channel
2023-04-11,33,5
2023-04-11,33,7
2023-04-11,33,8
2023-04-13,33,5
2023-04-13,33,6
2023-04-13,33,7
2023-04-13,33,8
2023-04-14,33,5
2023-04-14,33,6
2023-04-14,33,7
2023-04-14,33,8
2023-04-15,33,6
2023-04-15,33,7
2023-04-16,33,5
2023-04-16,33,6
2023-04-16,33,7
2023-04-16,33,8
2023-04-17,33,5
2023-04-17,33,6
2023-04-17,33,7
2023-04-17,33,8
2023-04-18,33,5
2023-04-18,33,6
2023-04-18,33,7
2023-04-18,33,8
2023-04-21,33,5
2023-04-21,33,6
2023-04-21,33,7
2023-04-21,33,8
2023-04-24,256,5
2023-04-24,256,6
2023-04-24,256,7
2023-04-24,256,8
2023-04-25,256,5
2023-04-25,256,6
2023-04-25,256,7
2023-04-25,256,8
2023-04-26,256,5
2023-04-26,256,6
2023-04-26,256,7
2023-04-26,256,8
2023-04-27,33,5
2023-04-27,33,6
2023-04-27,33,7
2023-04-27,33,8
2023-04-27,256,5
2023-04-27,256,6
2023-04-27,256,7
2023-04-27,256,8
2023-04-28,33,5
2023-04-28,33,6
2023-04-28,33,7
2023-04-28,33,8
2023-04-28,256,5
2023-04-28,256,6
2023-04-28,256,7
2023-04-28,256,8
2023-04-29,33,5
2023-04-29,33,6
2023-04-29,33,7
2023-04-29,33,8
2023-04-29,256,5
2023-04-29,256,6
2023-04-29,256,7
2023-04-29,256,8
2023-04-30,256,5
2023-04-30,256,6
2023-04-30,256,7
2023-04-30,256,8
2023-05-01,33,5
2023-05-01,33,6
2023-05-01,33,7
2023-05-01,33,8
2023-05-01,256,5
2023-05-01,256,6
2023-05-01,256,7
2023-05-01,256,8
2023-05-03,33,5
2023-05-03,33,6
2023-05-03,33,7
2023-05-03,33,8
2023-05-03,256,5
2023-05-03,256,6
2023-05-03,256,7
2023-05-03,256,8
2023-05-04,33,5
2023-05-04,33,6
2023-05-04,33,7
2023-05-04,33,8
2023-05-04,256,5
2023-05-04,256,6
2023-05-04,256,7
2023-05-04,256,8
2023-05-06,256,5
2023-05-06,256,6
2023-05-06,256,7
2023-05-06,256,8
2023-05-08,33,5
2023-05-08,33,6
2023-05-08,33,7
2023-05-08,33,8
2023-05-08,256,5
2023-05-08,256,6
2023-05-08,256,7
2023-05-08,256,8
2023-05-10,33,5
2023-05-10,33,6
2023-05-10,33,7
2023-05-10,33,8
2023-05-10,256,5
2023-05-10,256,6
2023-05-10,256,7
2023-05-10,256,8
2023-05-11,33,5
2023-05-11,33,6
2023-05-11,33,7
2023-05-11,33,8
2023-05-11,256,5
2023-05-11,256,6
2023-05-11,256,7
2023-05-11,256,8
2023-05-12,33,5
2023-05-12,33,6
2023-05-12,33,7
2023-05-12,33,8
2023-05-12,256,6
2023-05-12,256,7
2023-05-12,256,8
2023-05-13,33,5
2023-05-13,33,6
2023-05-13,33,7
2023-05-13,33,8
2023-05-13,256,5
2023-05-13,256,6
2023-05-13,256,7
2023-05-13,256,8
2023-05-15,33,5
2023-05-15,33,6
2023-05-15,33,7
2023-05-15,33,8
2023-05-15,256,6
2023-05-15,256,7
2023-05-15,256,8
2023-05-17,33,5
2023-05-17,33,6
2023-05-17,33,7
2023-05-17,33,8
2023-05-17,256,5
2023-05-17,256,6
2023-05-17,256,7
2023-05-17,256,8
2023-05-18,33,5
2023-05-18,33,6
2023-05-18,33,7
2023-05-18,33,8
2023-05-18,256,5
2023-05-18,256,6
2023-05-18,256,7
2023-05-18,256,8
2023-05-19,33,5
2023-05-19,33,6
2023-05-19,33,7
2023-05-19,33,8
2023-05-19,256,5
2023-05-19,256,6
2023-05-19,256,7
2023-05-19,256,8
2023-05-20,256,5
2023-05-20,256,6
2023-05-20,256,7
2023-05-20,256,8
2023-05-22,33,5
2023-05-22,33,6
2023-05-22,33,7
2023-05-22,33,8
2023-05-22,256,6
2023-05-22,256,7
2023-05-22,256,8
2023-05-23,40,1
2023-05-23,40,11
2023-05-23,40,12
2023-05-23,40,13
2023-05-23,40,14
2023-05-23,40,15
2023-05-23,40,2
2023-05-23,40,3
2023-05-23,40,4
2023-05-23,40,5
2023-05-23,40,6
